BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,NumberOfPixels,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
335,184,348,204,159,159,0,0,7.93056,22.3793,1.67985,51.4647,0.868548,7.11416,44.6996,10.9779,18.4412,1.67985,81.0189,38.7296,99.4151,28.394,15.595,22.0928,[341:185:336:191:337:197:347:204:348:194]
449,185,474,207,396,396,0,0,28.0088,35.7905,1.13041,71.3461,0.988741,11.2272,70.5428,21.1195,23.8738,1.13041,79.9242,58.7475,120.457,32.2846,28.002,27.5055,[455:187:450:198:461:207:468:205:474:197:468:187]
333,189,334,190,1,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,115,62,126,0,0,0,[334:190]
121,191,145,213,401,401,0,0,29.0422,35.9215,1.11215,71.116,0.998182,11.2979,70.9867,21.4262,23.8291,1.11215,87.6459,49.0673,114.723,20.2663,15.125,18.251,[126:192:122:197:122:207:129:213:137:212:145:200:138:194]
313,191,334,209,150,150,0,0,4.82507,40.1272,2.88382,62.7461,0.691932,6.90988,43.4161,8.13799,23.4685,2.88382,138.927,75.88,139.353,23.6567,19.4322,17.1465,[333:192:330:196:323:194:314:208:321:207:333:198]
185,196,216,235,658,658,0,0,34.1354,122.867,1.89721,121.565,0.748011,14.4723,90.9322,21.0141,39.8681,1.89721,63.6809,34.7918,89.8222,38.4056,23.9103,34.0137,[188:198:186:209:192:218:189:230:194:234:211:235:216:218:207:218:197:208:197:201:192:197]
64,198,78,225,276,276,0,0,11.0177,45.9533,2.04227,67.189,0.876519,9.37302,58.8924,13.1176,26.7896,2.04227,58.7246,28.2391,73.1594,20.6362,17.9636,31.297,[74:199:70:199:65:206:70:225:75:224:78:218:78:208]
319,198,346,218,283,283,0,0,17.7396,33.1935,1.3679,71.3461,0.83585,9.49114,59.6346,16.2301,22.2012,1.3679,60.7633,33.1696,86.2898,42.4556,25.6552,34.564,[320:210:327:210:336:218:341:218:346:207:335:199]
374,207,393,224,217,217,0,0,11.4786,26.8765,1.53017,54.9316,0.950632,8.31103,52.2198,13.4374,20.5615,1.53017,83.0092,40.9816,101.392,24.0616,17.8302,21.2914,[392:212:388:208:381:210:375:222:383:224:392:218]
167,209,180,225,168,168,0,0,10.8665,16.715,1.24025,46.1017,0.99665,7.31273,45.9473,13.1327,16.2879,1.24025,86.7917,49.3155,110.143,21.0504,16.8566,15.8754,[174:210:168:215:171:224:177:225:180:221:180:212]
254,215,278,239,436,436,0,0,31.8077,39.5427,1.11498,77.1297,0.95968,11.7806,74.0198,22.3133,24.8789,1.11498,65.5734,24.2844,67.5344,26.3359,16.1231,27.7063,[258:217:255:221:258:235:265:239:278:233:278:223:275:219]
212,219,248,252,647,647,0,0,25.8442,115.041,2.10982,108.848,0.828395,14.3508,90.169,19.7599,41.6898,2.10982,68.3045,30.8624,85.4049,33.7582,15.7941,27.1462,[218:220:214:238:225:241:234:252:248:249:246:237]
322,233,374,300,1583,1583,0,0,117.105,229.327,1.39939,218.941,0.644196,22.4474,141.041,37.9512,53.1087,1.39939,82.65,41.5445,101.536,36.3987,21.1866,25.7408,[357:234:351:237:351:241:357:247:355:251:345:255:332:250:323:266:330:280:334:281:343:275:348:278:341:289:341:295:346:300:355:296:361:273:367:266:367:257:374:251:370:250]
